Region,Nationality_Demonym,Total_Prisoners,Male,Female
Europe,British,74973,71972,3001
Europe,Albanian,944,936,8
Europe,Irish,679,655,24
Europe,Polish,677,639,38
Europe,Romanian,658,622,36
Asia,Indian,389,378,11
West Indies,Jamaican,364,358,6
Asia,Pakistani,326,323,3
Middle East,Iranian,290,288,2
Middle East,Iraqi,284,283,1
Europe,Lithuanian,283,272,11
Asia,Afghan,273,272,1
Europe,Portuguese,266,261,5
Africa,Nigerian,255,250,5
Africa,Somalian,247,245,2
Africa,Sudanese,209,209,0
Africa,Algerian,190,190,0
Africa,Eritrean,153,152,1
Europe,Italian,151,141,10
Africa,Zimbabwean,148,146,2
Europe,Bulgarian,146,135,11
Asia,Vietnamese,143,138,5
Asia,Bangladeshi,141,141,0
Europe,Dutch,134,128,6
Europe,French,133,120,13
Europe,Turk,130,130,0
Middle East,Syrian,126,124,2
Europe,Latvian,117,108,9
Central and South America,Brazilian,109,95,14
Europe,Slovak,101,96,5
Europe,Spanish,100,95,5
Africa,Egyptian,95,95,0
Asia,Chinese,88,73,15
Europe,Czech,82,73,9
Africa,Moroccan,76,76,0
Africa,Ghanaian,74,71,3
Africa,South African,74,71,3
Europe,Hungarian,73,71,2
Africa,Gambian,64,63,1
Africa,"Congolese (Congo, Democratic Republic)",64,64,0
Asia,Sri Lankan,62,61,1
Europe,German,60,58,2
North America,American,56,50,6
Middle East,Kuwaiti,54,54,0
Africa,Sierra Leonean,47,45,2
Central and South America,Colombian,43,42,1
Africa,Libyan,43,43,0
West Indies,"Trinidadian, Tobagonian",42,40,2
Europe,Ukrainian,40,39,1
Africa,Angolan,39,38,1
Africa,Ethiopian,39,39,0
Europe,Russian,35,32,3
Africa,Kenyan,34,33,1
Europe,Greek,34,34,0
Europe,Swede,32,32,0
Africa,"Congolese (Congo, Republic of)",28,28,0
Europe,Belgian,26,24,2
Africa,Tunisian,24,24,0
Middle East,Palestinian,24,24,0
Africa,Central African,23,23,0
Africa,Ugandan,22,21,1
Europe,Kosovan,22,21,1
Africa,Cameroonian,21,21,0
Middle East,Saudi Arabian,19,18,1
Asia,Filipino,19,18,1
West Indies,Saint Lucian,18,18,0
Africa,Guinean,18,18,0
Africa,Ivorian,18,18,0
Europe,Georgian,18,18,0
West Indies,Grenadian,18,18,0
North America,Canadian,17,15,2
Europe,Moldovan,16,16,0
West Indies,Barbadian or Bajuns,16,15,1
Africa,Zambian,16,16,0
West Indies,Dominican (Dominica),16,16,0
Europe,Norwegian,15,15,0
Middle East,Yemenite,14,13,1
Asia,Malaysian,14,11,3
Africa,Tanzanian,13,11,2
Africa,Congolese,13,13,0
Africa,Mauritian,12,11,1
West Indies,Vincentian,12,11,1
Europe,Danish,12,12,0
Central and South America,Mexican,12,9,3
Middle East,Lebanese,12,12,0
Middle East,Jordanian,12,12,0
Africa,Senegalese,11,11,0
Africa,Nigerien,11,11,0
Central and South America,Ecuadorian,10,10,0
Oceania,Australian,10,8,2
Asia,Nepalese,9,9,0
Africa,Malawian,9,9,0
Asia,Uzbekistani,9,9,0
Asia,Thai,8,4,4
Asia,Kazakhstani,8,8,0
Central and South America,Bolivian,8,7,1
Europe,Cypriot,8,8,0
Oceania,Fijian,7,6,1
Africa,Namibian,7,7,0
Africa,Burundian,6,5,1
Middle East,Israeli,6,6,0
Middle East,Emirati,6,6,0
Asia,East Timorese,6,6,0
Central and South America,Honduran,6,5,1
Central and South America,Guyanese,6,5,1
Europe,Croat,6,6,0
Africa,Liberian,6,6,0
Central and South America,Peruvian,6,5,1
West Indies,Cuban,6,6,0
Oceania,New Zealander,5,4,1
Europe,Estonian,5,5,0
Europe,Austrian,5,5,0
Africa,Rwandan,5,5,0
Africa,Chadian,5,5,0
Central and South America,Chilean,5,5,0
Central and South America,Venezuelan,4,4,0
Europe,Belarusian,4,4,0
West Indies,Kittitian or Nevisian,4,4,0
Europe,Finnish,4,4,0
Africa,South Sudanese,4,4,0
Asia,Indonesian,4,4,0
Asia,Burmese,4,4,0
Africa,Bissau-Guinean,3,3,0
West Indies,Anguillan,3,3,0
Europe,Maltese,3,3,0
Europe,Serb,3,3,0
Central and South America,Argentine,3,3,0
Europe,Macedonian,3,2,1
West Indies,Bermudian,3,3,0
Europe,"Bosnian, Herzegovinian",3,3,0
Asia,Kyrgyzstani,3,3,0
Africa,Mauritanian,3,3,0
Africa,Motswana,2,2,0
Africa,Cape Verdian,2,2,0
Oceania,Papua New Guinean,2,2,0
Europe,Serb or Croat,2,1,1
Europe,Armenian,2,2,0
West Indies,Haitian,2,2,0
Africa,Equatoguinean,2,2,0
West Indies,"Antiguan, Barbudan",2,1,1
Europe,Slovene,2,1,1
Middle East,Qatari,2,2,0
Asia,Mongolian,2,2,0
Asia,South Korean,2,2,0
Central and South America,Costa Rican,2,2,0
Europe,Azerbaijani,2,2,0
Europe,Swiss,2,1,1
Asia,Tajikistani,2,2,0
Asia,Hongkonger,2,2,0
Asia,Maldivian,2,2,0
Central and South America,Salvadoran,2,2,0
Africa,Burkinabe,1,0,1
Africa,Beninese,1,1,0
Africa,Comoran,1,1,0
Africa,Malian,1,1,0
Africa,Sahrawi,1,1,0
Africa,Seychellois,1,1,0
Africa,Mozambican,1,1,0
Central and South America,Paraguayan,1,1,0
Africa,Swazi,1,1,0
Central and South America,Uruguayan,1,1,0
Asia,North Korean,1,1,0
Asia,Singaporean,1,1,0
Middle East,Bahraini,1,1,0
Europe,Montenegrin,1,1,0
Europe,Manx,1,1,0
Oceania,American Samoan,1,1,0
West Indies,Dutch Antillean,1,1,0
West Indies,Dominican (Dominican Republic),1,1,0
West Indies,Bahamian,1,1,0
West Indies,Montserratian,1,1,0
