"REGION","ORDER TYPE","SEX","DATE","COUNT"
"East Midlands","All community sentences","Female","2025Q3",667
"East Midlands","All community sentences","Male","2025Q3",3304
"East Midlands","All court orders","Female","2025Q3",1100
"East Midlands","All court orders","Male","2025Q3",6292
"East Midlands","All pre- and post-release supervision","Female","2025Q3",471
"East Midlands","All pre- and post-release supervision","Male","2025Q3",8146
"East Midlands","All pre-Criminal Justice Act 2003 orders","Female","2025Q3",2
"East Midlands","All pre-Criminal Justice Act 2003 orders","Male","2025Q3",8
"East Midlands","All supervision","Female","2025Q3",1531
"East Midlands","All supervision","Male","2025Q3",14136
"East Midlands","All supervision in the community","Female","2025Q3",1337
"East Midlands","All supervision in the community","Male","2025Q3",9711
"East Midlands","Community order","Female","2025Q3",664
"East Midlands","Community order","Male","2025Q3",3259
"East Midlands","Other sentences","Female","2025Q3",449
"East Midlands","Other sentences","Male","2025Q3",3102
"East Midlands","Post-release supervision","Female","2025Q3",267
"East Midlands","Post-release supervision","Male","2025Q3",3626
"East Midlands","Pre-release supervision","Female","2025Q3",204
"East Midlands","Pre-release supervision","Male","2025Q3",4523
"East Midlands","Supervision Default Order","Male","2025Q3",3
"East Midlands","Suspended sentence order with requirements","Female","2025Q3",449
"East Midlands","Suspended sentence order with requirements","Male","2025Q3",3102
"East Midlands","Youth Rehabilitation Order","Female","2025Q3",1
"East Midlands","Youth Rehabilitation Order","Male","2025Q3",38
"East of England","All community sentences","Female","2025Q3",1037
"East of England","All community sentences","Male","2025Q3",5073
"East of England","All court orders","Female","2025Q3",1619
"East of England","All court orders","Male","2025Q3",9517
"East of England","All pre- and post-release supervision","Female","2025Q3",584
"East of England","All pre- and post-release supervision","Male","2025Q3",12343
"East of England","All pre-Criminal Justice Act 2003 orders","Male","2025Q3",5
"East of England","All supervision","Female","2025Q3",2164
"East of England","All supervision","Male","2025Q3",21474
"East of England","All supervision in the community","Female","2025Q3",1920
"East of England","All supervision in the community","Male","2025Q3",14736
"East of England","Community order","Female","2025Q3",1036
"East of England","Community order","Male","2025Q3",5016
"East of England","Other sentences","Female","2025Q3",604
"East of England","Other sentences","Male","2025Q3",4591
"East of England","Post-release supervision","Female","2025Q3",331
"East of England","Post-release supervision","Male","2025Q3",5494
"East of England","Pre-release supervision","Female","2025Q3",253
"East of England","Pre-release supervision","Male","2025Q3",6863
"East of England","Supervision Default Order","Male","2025Q3",2
"East of England","Suspended sentence order with requirements","Female","2025Q3",604
"East of England","Suspended sentence order with requirements","Male","2025Q3",4591
"East of England","Youth Rehabilitation Order","Female","2025Q3",1
"East of England","Youth Rehabilitation Order","Male","2025Q3",52
"Greater Manchester","All community sentences","Female","2025Q3",589
"Greater Manchester","All community sentences","Male","2025Q3",3449
"Greater Manchester","All court orders","Female","2025Q3",919
"Greater Manchester","All court orders","Male","2025Q3",6105
"Greater Manchester","All pre- and post-release supervision","Female","2025Q3",390
"Greater Manchester","All pre- and post-release supervision","Male","2025Q3",8996
"Greater Manchester","All pre-Criminal Justice Act 2003 orders","Male","2025Q3",2
"Greater Manchester","All supervision","Female","2025Q3",1273
"Greater Manchester","All supervision","Male","2025Q3",14727
"Greater Manchester","All supervision in the community","Female","2025Q3",1132
"Greater Manchester","All supervision in the community","Male","2025Q3",9932
"Greater Manchester","Community order","Female","2025Q3",588
"Greater Manchester","Community order","Male","2025Q3",3397
"Greater Manchester","Other sentences","Female","2025Q3",346
"Greater Manchester","Other sentences","Male","2025Q3",2802
"Greater Manchester","Post-release supervision","Female","2025Q3",235
"Greater Manchester","Post-release supervision","Male","2025Q3",4053
"Greater Manchester","Pre-release supervision","Female","2025Q3",156
"Greater Manchester","Pre-release supervision","Male","2025Q3",4946
"Greater Manchester","Supervision Default Order","Male","2025Q3",7
"Greater Manchester","Suspended sentence order with requirements","Female","2025Q3",346
"Greater Manchester","Suspended sentence order with requirements","Male","2025Q3",2802
"Greater Manchester","Youth Rehabilitation Order","Female","2025Q3",1
"Greater Manchester","Youth Rehabilitation Order","Male","2025Q3",48
"Kent, Surrey and Sussex","All community sentences","Female","2025Q3",780
"Kent, Surrey and Sussex","All community sentences","Male","2025Q3",3736
"Kent, Surrey and Sussex","All court orders","Female","2025Q3",1140
"Kent, Surrey and Sussex","All court orders","Male","2025Q3",6524
"Kent, Surrey and Sussex","All pre- and post-release supervision","Female","2025Q3",393
"Kent, Surrey and Sussex","All pre- and post-release supervision","Male","2025Q3",7760
"Kent, Surrey and Sussex","All pre-Criminal Justice Act 2003 orders","Female","2025Q3",1
"Kent, Surrey and Sussex","All pre-Criminal Justice Act 2003 orders","Male","2025Q3",2
"Kent, Surrey and Sussex","All supervision","Female","2025Q3",1501
"Kent, Surrey and Sussex","All supervision","Male","2025Q3",13978
"Kent, Surrey and Sussex","All supervision in the community","Female","2025Q3",1361
"Kent, Surrey and Sussex","All supervision in the community","Male","2025Q3",9844
"Kent, Surrey and Sussex","Community order","Female","2025Q3",779
"Kent, Surrey and Sussex","Community order","Male","2025Q3",3685
"Kent, Surrey and Sussex","Other sentences","Female","2025Q3",378
"Kent, Surrey and Sussex","Other sentences","Male","2025Q3",2956
"Kent, Surrey and Sussex","Post-release supervision","Female","2025Q3",246
"Kent, Surrey and Sussex","Post-release supervision","Male","2025Q3",3510
"Kent, Surrey and Sussex","Pre-release supervision","Female","2025Q3",148
"Kent, Surrey and Sussex","Pre-release supervision","Male","2025Q3",4253
"Kent, Surrey and Sussex","Supervision Default Order","Male","2025Q3",4
"Kent, Surrey and Sussex","Suspended sentence order with requirements","Female","2025Q3",378
"Kent, Surrey and Sussex","Suspended sentence order with requirements","Male","2025Q3",2956
"Kent, Surrey and Sussex","Youth Rehabilitation Order","Male","2025Q3",48
"London","All community sentences","Female","2025Q3",955
"London","All community sentences","Male","2025Q3",6499
"London","All court orders","Female","2025Q3",1603
"London","All court orders","Male","2025Q3",12406
"London","All pre- and post-release supervision","Female","2025Q3",1028
"London","All pre- and post-release supervision","Male","2025Q3",22598
"London","All pre-Criminal Justice Act 2003 orders","Male","2025Q3",3
"London","All supervision","Female","2025Q3",2590
"London","All supervision","Male","2025Q3",34433
"London","All supervision in the community","Female","2025Q3",2126
"London","All supervision in the community","Male","2025Q3",22100
"London","Community order","Female","2025Q3",948
"London","Community order","Male","2025Q3",6358
"London","Other sentences","Female","2025Q3",664
"London","Other sentences","Male","2025Q3",6105
"London","Post-release supervision","Female","2025Q3",557
"London","Post-release supervision","Male","2025Q3",10042
"London","Pre-release supervision","Female","2025Q3",473
"London","Pre-release supervision","Male","2025Q3",12588
"London","Supervision Default Order","Male","2025Q3",2
"London","Suspended sentence order with requirements","Female","2025Q3",664
"London","Suspended sentence order with requirements","Male","2025Q3",6105
"London","Youth Rehabilitation Order","Female","2025Q3",8
"London","Youth Rehabilitation Order","Male","2025Q3",142
"National Security Division","All community sentences","Female","2025Q3",3
"National Security Division","All community sentences","Male","2025Q3",18
"National Security Division","All court orders","Female","2025Q3",6
"National Security Division","All court orders","Male","2025Q3",25
"National Security Division","All pre- and post-release supervision","Female","2025Q3",13
"National Security Division","All pre- and post-release supervision","Male","2025Q3",405
"National Security Division","All supervision","Female","2025Q3",19
"National Security Division","All supervision","Male","2025Q3",427
"National Security Division","All supervision in the community","Female","2025Q3",7
"National Security Division","All supervision in the community","Male","2025Q3",102
"National Security Division","Community order","Female","2025Q3",3
"National Security Division","Community order","Male","2025Q3",16
"National Security Division","Other sentences","Female","2025Q3",3
"National Security Division","Other sentences","Male","2025Q3",7
"National Security Division","Post-release supervision","Female","2025Q3",1
"National Security Division","Post-release supervision","Male","2025Q3",78
"National Security Division","Pre-release supervision","Female","2025Q3",12
"National Security Division","Pre-release supervision","Male","2025Q3",327
"National Security Division","Suspended sentence order with requirements","Female","2025Q3",3
"National Security Division","Suspended sentence order with requirements","Male","2025Q3",7
"National Security Division","Youth Rehabilitation Order","Male","2025Q3",2
"North East","All community sentences","Female","2025Q3",671
"North East","All community sentences","Male","2025Q3",2806
"North East","All court orders","Female","2025Q3",989
"North East","All court orders","Male","2025Q3",5088
"North East","All pre- and post-release supervision","Female","2025Q3",443
"North East","All pre- and post-release supervision","Male","2025Q3",7407
"North East","All pre-Criminal Justice Act 2003 orders","Male","2025Q3",4
"North East","All supervision","Female","2025Q3",1389
"North East","All supervision","Male","2025Q3",12239
"North East","All supervision in the community","Female","2025Q3",1206
"North East","All supervision in the community","Male","2025Q3",8021
"North East","Community order","Female","2025Q3",670
"North East","Community order","Male","2025Q3",2774
"North East","Other sentences","Female","2025Q3",327
"North East","Other sentences","Male","2025Q3",2381
"North East","Post-release supervision","Female","2025Q3",248
"North East","Post-release supervision","Male","2025Q3",3110
"North East","Pre-release supervision","Female","2025Q3",195
"North East","Pre-release supervision","Male","2025Q3",4301
"North East","Suspended sentence order with requirements","Female","2025Q3",327
"North East","Suspended sentence order with requirements","Male","2025Q3",2381
"North East","Youth Rehabilitation Order","Female","2025Q3",1
"North East","Youth Rehabilitation Order","Male","2025Q3",30
"North West","All community sentences","Female","2025Q3",1258
"North West","All community sentences","Male","2025Q3",5244
"North West","All court orders","Female","2025Q3",1959
"North West","All court orders","Male","2025Q3",9865
"North West","All pre- and post-release supervision","Female","2025Q3",795
"North West","All pre- and post-release supervision","Male","2025Q3",14251
"North West","All supervision","Female","2025Q3",2703
"North West","All supervision","Male","2025Q3",23595
"North West","All supervision in the community","Female","2025Q3",2403
"North West","All supervision in the community","Male","2025Q3",16327
"North West","Community order","Female","2025Q3",1258
"North West","Community order","Male","2025Q3",5196
"North West","Deferred sentence","Male","2025Q3",1
"North West","Other sentences","Female","2025Q3",740
"North West","Other sentences","Male","2025Q3",4831
"North West","Post-release supervision","Female","2025Q3",483
"North West","Post-release supervision","Male","2025Q3",6838
"North West","Pre-release supervision","Female","2025Q3",312
"North West","Pre-release supervision","Male","2025Q3",7420
"North West","Supervision Default Order","Male","2025Q3",9
"North West","Suspended sentence order with requirements","Female","2025Q3",740
"North West","Suspended sentence order with requirements","Male","2025Q3",4830
"North West","Youth Rehabilitation Order","Male","2025Q3",46
"Other","All community sentences","Male","2025Q3",2
"Other","All court orders","Male","2025Q3",2
"Other","All supervision","Male","2025Q3",2
"Other","All supervision in the community","Male","2025Q3",2
"Other","Community order","Male","2025Q3",2
"South Central","All community sentences","Female","2025Q3",615
"South Central","All community sentences","Male","2025Q3",3562
"South Central","All court orders","Female","2025Q3",904
"South Central","All court orders","Male","2025Q3",5901
"South Central","All pre- and post-release supervision","Female","2025Q3",358
"South Central","All pre- and post-release supervision","Male","2025Q3",6726
"South Central","All pre-Criminal Justice Act 2003 orders","Male","2025Q3",4
"South Central","All supervision","Female","2025Q3",1241
"South Central","All supervision","Male","2025Q3",12381
"South Central","All supervision in the community","Female","2025Q3",1097
"South Central","All supervision in the community","Male","2025Q3",8956
"South Central","Community order","Female","2025Q3",615
"South Central","Community order","Male","2025Q3",3538
"South Central","Deferred sentence","Male","2025Q3",1
"South Central","Other sentences","Female","2025Q3",297
"South Central","Other sentences","Male","2025Q3",2453
"South Central","Post-release supervision","Female","2025Q3",208
"South Central","Post-release supervision","Male","2025Q3",3223
"South Central","Pre-release supervision","Female","2025Q3",150
"South Central","Pre-release supervision","Male","2025Q3",3507
"South Central","Supervision Default Order","Male","2025Q3",2
"South Central","Suspended sentence order with requirements","Female","2025Q3",297
"South Central","Suspended sentence order with requirements","Male","2025Q3",2452
"South Central","Youth Rehabilitation Order","Male","2025Q3",20
"South West","All community sentences","Female","2025Q3",862
"South West","All community sentences","Male","2025Q3",4543
"South West","All court orders","Female","2025Q3",1236
"South West","All court orders","Male","2025Q3",7334
"South West","All pre- and post-release supervision","Female","2025Q3",441
"South West","All pre- and post-release supervision","Male","2025Q3",8148
"South West","All pre-Criminal Justice Act 2003 orders","Male","2025Q3",3
"South West","All supervision","Female","2025Q3",1645
"South West","All supervision","Male","2025Q3",15212
"South West","All supervision in the community","Female","2025Q3",1479
"South West","All supervision in the community","Male","2025Q3",10856
"South West","Community order","Female","2025Q3",859
"South West","Community order","Male","2025Q3",4512
"South West","Other sentences","Female","2025Q3",386
"South West","Other sentences","Male","2025Q3",2939
"South West","Post-release supervision","Female","2025Q3",270
"South West","Post-release supervision","Male","2025Q3",3702
"South West","Pre-release supervision","Female","2025Q3",171
"South West","Pre-release supervision","Male","2025Q3",4447
"South West","Supervision Default Order","Female","2025Q3",1
"South West","Supervision Default Order","Male","2025Q3",4
"South West","Suspended sentence order with requirements","Female","2025Q3",386
"South West","Suspended sentence order with requirements","Male","2025Q3",2939
"South West","Youth Rehabilitation Order","Female","2025Q3",2
"South West","Youth Rehabilitation Order","Male","2025Q3",28
"Wales","All community sentences","Female","2025Q3",718
"Wales","All community sentences","Male","2025Q3",3154
"Wales","All court orders","Female","2025Q3",1151
"Wales","All court orders","Male","2025Q3",5917
"Wales","All pre- and post-release supervision","Female","2025Q3",555
"Wales","All pre- and post-release supervision","Male","2025Q3",7632
"Wales","All pre-Criminal Justice Act 2003 orders","Female","2025Q3",1
"Wales","All pre-Criminal Justice Act 2003 orders","Male","2025Q3",5
"Wales","All supervision","Female","2025Q3",1659
"Wales","All supervision","Male","2025Q3",13268
"Wales","All supervision in the community","Female","2025Q3",1460
"Wales","All supervision in the community","Male","2025Q3",9337
"Wales","Community order","Female","2025Q3",715
"Wales","Community order","Male","2025Q3",3125
"Wales","Other sentences","Female","2025Q3",453
"Wales","Other sentences","Male","2025Q3",2857
"Wales","Post-release supervision","Female","2025Q3",346
"Wales","Post-release supervision","Male","2025Q3",3620
"Wales","Pre-release supervision","Female","2025Q3",209
"Wales","Pre-release supervision","Male","2025Q3",4023
"Wales","Supervision Default Order","Male","2025Q3",3
"Wales","Suspended sentence order with requirements","Female","2025Q3",453
"Wales","Suspended sentence order with requirements","Male","2025Q3",2857
"Wales","Youth Rehabilitation Order","Female","2025Q3",2
"Wales","Youth Rehabilitation Order","Male","2025Q3",23
"West Midlands","All community sentences","Female","2025Q3",1149
"West Midlands","All community sentences","Male","2025Q3",5293
"West Midlands","All court orders","Female","2025Q3",1700
"West Midlands","All court orders","Male","2025Q3",9415
"West Midlands","All pre- and post-release supervision","Female","2025Q3",759
"West Midlands","All pre- and post-release supervision","Male","2025Q3",14442
"West Midlands","All pre-Criminal Justice Act 2003 orders","Male","2025Q3",3
"West Midlands","All supervision","Female","2025Q3",2407
"West Midlands","All supervision","Male","2025Q3",23392
"West Midlands","All supervision in the community","Female","2025Q3",2066
"West Midlands","All supervision in the community","Male","2025Q3",15339
"West Midlands","Community order","Female","2025Q3",1148
"West Midlands","Community order","Male","2025Q3",5228
"West Midlands","Other sentences","Female","2025Q3",570
"West Midlands","Other sentences","Male","2025Q3",4290
"West Midlands","Post-release supervision","Female","2025Q3",403
"West Midlands","Post-release supervision","Male","2025Q3",6197
"West Midlands","Pre-release supervision","Female","2025Q3",358
"West Midlands","Pre-release supervision","Male","2025Q3",8254
"West Midlands","Supervision Default Order","Male","2025Q3",3
"West Midlands","Suspended sentence order with requirements","Female","2025Q3",570
"West Midlands","Suspended sentence order with requirements","Male","2025Q3",4290
"West Midlands","Youth Rehabilitation Order","Female","2025Q3",1
"West Midlands","Youth Rehabilitation Order","Male","2025Q3",63
"Yorkshire and the Humber","All community sentences","Female","2025Q3",1185
"Yorkshire and the Humber","All community sentences","Male","2025Q3",5351
"Yorkshire and the Humber","All court orders","Female","2025Q3",1795
"Yorkshire and the Humber","All court orders","Male","2025Q3",9655
"Yorkshire and the Humber","All pre- and post-release supervision","Female","2025Q3",847
"Yorkshire and the Humber","All pre- and post-release supervision","Male","2025Q3",15398
"Yorkshire and the Humber","All pre-Criminal Justice Act 2003 orders","Male","2025Q3",2
"Yorkshire and the Humber","All supervision","Female","2025Q3",2574
"Yorkshire and the Humber","All supervision","Male","2025Q3",24542
"Yorkshire and the Humber","All supervision in the community","Female","2025Q3",2260
"Yorkshire and the Humber","All supervision in the community","Male","2025Q3",15982
"Yorkshire and the Humber","Community order","Female","2025Q3",1184
"Yorkshire and the Humber","Community order","Male","2025Q3",5312
"Yorkshire and the Humber","Other sentences","Female","2025Q3",627
"Yorkshire and the Humber","Other sentences","Male","2025Q3",4451
"Yorkshire and the Humber","Post-release supervision","Female","2025Q3",518
"Yorkshire and the Humber","Post-release supervision","Male","2025Q3",6692
"Yorkshire and the Humber","Pre-release supervision","Female","2025Q3",329
"Yorkshire and the Humber","Pre-release supervision","Male","2025Q3",8708
"Yorkshire and the Humber","Supervision Default Order","Male","2025Q3",2
"Yorkshire and the Humber","Suspended sentence order with requirements","Female","2025Q3",627
"Yorkshire and the Humber","Suspended sentence order with requirements","Male","2025Q3",4451
"Yorkshire and the Humber","Youth Rehabilitation Order","Female","2025Q3",1
