"REGION","ORDER TYPE","SEX","DATE","COUNT"
"East Midlands","All community sentences","Female","2025Q3",209
"East Midlands","All community sentences","Male","2025Q3",915
"East Midlands","All court orders","Female","2025Q3",312
"East Midlands","All court orders","Male","2025Q3",1582
"East Midlands","All court orders and pre-release supervision","Female","2025Q3",403
"East Midlands","All court orders and pre-release supervision","Male","2025Q3",2754
"East Midlands","All pre-Criminal Justice Act 2003 orders","Male","2025Q3",1
"East Midlands","Committal for breach of post-sentence supervision","Male","2025Q3",16
"East Midlands","Community order","Female","2025Q3",209
"East Midlands","Community order","Male","2025Q3",909
"East Midlands","Other sentences","Female","2025Q3",103
"East Midlands","Other sentences","Male","2025Q3",667
"East Midlands","Pre-release supervision","Female","2025Q3",91
"East Midlands","Pre-release supervision","Male","2025Q3",1172
"East Midlands","Supervision Default Order","Male","2025Q3",1
"East Midlands","Suspended sentence order with requirements","Female","2025Q3",103
"East Midlands","Suspended sentence order with requirements","Male","2025Q3",667
"East Midlands","Youth Rehabilitation Order","Male","2025Q3",4
"East of England","All community sentences","Female","2025Q3",247
"East of England","All community sentences","Male","2025Q3",1180
"East of England","All court orders","Female","2025Q3",383
"East of England","All court orders","Male","2025Q3",2072
"East of England","All court orders and pre-release supervision","Female","2025Q3",494
"East of England","All court orders and pre-release supervision","Male","2025Q3",3760
"East of England","All pre-Criminal Justice Act 2003 orders","Male","2025Q3",2
"East of England","Committal for breach of post-sentence supervision","Female","2025Q3",1
"East of England","Committal for breach of post-sentence supervision","Male","2025Q3",26
"East of England","Community order","Female","2025Q3",247
"East of England","Community order","Male","2025Q3",1170
"East of England","Other sentences","Female","2025Q3",136
"East of England","Other sentences","Male","2025Q3",893
"East of England","Pre-release supervision","Female","2025Q3",111
"East of England","Pre-release supervision","Male","2025Q3",1689
"East of England","Suspended sentence order with requirements","Female","2025Q3",136
"East of England","Suspended sentence order with requirements","Male","2025Q3",893
"East of England","Youth Rehabilitation Order","Male","2025Q3",8
"Greater Manchester","All community sentences","Female","2025Q3",159
"Greater Manchester","All community sentences","Male","2025Q3",911
"Greater Manchester","All court orders","Female","2025Q3",225
"Greater Manchester","All court orders","Male","2025Q3",1475
"Greater Manchester","All court orders and pre-release supervision","Female","2025Q3",301
"Greater Manchester","All court orders and pre-release supervision","Male","2025Q3",2611
"Greater Manchester","All pre-Criminal Justice Act 2003 orders","Male","2025Q3",1
"Greater Manchester","Committal for breach of post-sentence supervision","Female","2025Q3",5
"Greater Manchester","Committal for breach of post-sentence supervision","Male","2025Q3",38
"Greater Manchester","Community order","Female","2025Q3",159
"Greater Manchester","Community order","Male","2025Q3",908
"Greater Manchester","Other sentences","Female","2025Q3",66
"Greater Manchester","Other sentences","Male","2025Q3",564
"Greater Manchester","Pre-release supervision","Female","2025Q3",76
"Greater Manchester","Pre-release supervision","Male","2025Q3",1136
"Greater Manchester","Supervision Default Order","Male","2025Q3",2
"Greater Manchester","Suspended sentence order with requirements","Female","2025Q3",66
"Greater Manchester","Suspended sentence order with requirements","Male","2025Q3",564
"Kent, Surrey and Sussex","All community sentences","Female","2025Q3",230
"Kent, Surrey and Sussex","All community sentences","Male","2025Q3",952
"Kent, Surrey and Sussex","All court orders","Female","2025Q3",300
"Kent, Surrey and Sussex","All court orders","Male","2025Q3",1489
"Kent, Surrey and Sussex","All court orders and pre-release supervision","Female","2025Q3",354
"Kent, Surrey and Sussex","All court orders and pre-release supervision","Male","2025Q3",2552
"Kent, Surrey and Sussex","Committal for breach of post-sentence supervision","Male","2025Q3",8
"Kent, Surrey and Sussex","Community order","Female","2025Q3",230
"Kent, Surrey and Sussex","Community order","Male","2025Q3",949
"Kent, Surrey and Sussex","Other sentences","Female","2025Q3",70
"Kent, Surrey and Sussex","Other sentences","Male","2025Q3",539
"Kent, Surrey and Sussex","Pre-release supervision","Female","2025Q3",54
"Kent, Surrey and Sussex","Pre-release supervision","Male","2025Q3",1065
"Kent, Surrey and Sussex","Supervision Default Order","Male","2025Q3",1
"Kent, Surrey and Sussex","Suspended sentence order with requirements","Female","2025Q3",70
"Kent, Surrey and Sussex","Suspended sentence order with requirements","Male","2025Q3",539
"Kent, Surrey and Sussex","Youth Rehabilitation Order","Male","2025Q3",2
"London","All community sentences","Female","2025Q3",237
"London","All community sentences","Male","2025Q3",1566
"London","All court orders","Female","2025Q3",378
"London","All court orders","Male","2025Q3",2682
"London","All court orders and pre-release supervision","Female","2025Q3",612
"London","All court orders and pre-release supervision","Male","2025Q3",5105
"London","All pre-Criminal Justice Act 2003 orders","Male","2025Q3",2
"London","Committal for breach of post-sentence supervision","Male","2025Q3",9
"London","Community order","Female","2025Q3",235
"London","Community order","Male","2025Q3",1551
"London","Other sentences","Female","2025Q3",141
"London","Other sentences","Male","2025Q3",1118
"London","Pre-release supervision","Female","2025Q3",234
"London","Pre-release supervision","Male","2025Q3",2423
"London","Supervision Default Order","Male","2025Q3",1
"London","Suspended sentence order with requirements","Female","2025Q3",141
"London","Suspended sentence order with requirements","Male","2025Q3",1118
"London","Youth Rehabilitation Order","Female","2025Q3",2
"London","Youth Rehabilitation Order","Male","2025Q3",13
"National Security Division","All court orders and pre-release supervision","Female","2025Q3",2
"National Security Division","All court orders and pre-release supervision","Male","2025Q3",2
"National Security Division","Pre-release supervision","Female","2025Q3",2
"National Security Division","Pre-release supervision","Male","2025Q3",2
"North East","All community sentences","Female","2025Q3",176
"North East","All community sentences","Male","2025Q3",725
"North East","All court orders","Female","2025Q3",250
"North East","All court orders","Male","2025Q3",1224
"North East","All court orders and pre-release supervision","Female","2025Q3",338
"North East","All court orders and pre-release supervision","Male","2025Q3",2232
"North East","Committal for breach of post-sentence supervision","Male","2025Q3",12
"North East","Community order","Female","2025Q3",176
"North East","Community order","Male","2025Q3",723
"North East","Other sentences","Female","2025Q3",74
"North East","Other sentences","Male","2025Q3",499
"North East","Pre-release supervision","Female","2025Q3",90
"North East","Pre-release supervision","Male","2025Q3",1008
"North East","Suspended sentence order with requirements","Female","2025Q3",74
"North East","Suspended sentence order with requirements","Male","2025Q3",499
"North East","Youth Rehabilitation Order","Male","2025Q3",2
"North West","All community sentences","Female","2025Q3",375
"North West","All community sentences","Male","2025Q3",1438
"North West","All court orders","Female","2025Q3",535
