REGION,ORDER TYPE,REASON,SEX,DATE,COUNT
East Midlands,Community order,Ran their full course,Female,2025Q3,106
East Midlands,Community order,Ran their full course,Male,2025Q3,527
East Midlands,Community order,Terminated early for good progress,Female,2025Q3,5
East Midlands,Community order,Terminated early for good progress,Male,2025Q3,46
East Midlands,Community order,Terminated early for failure to comply with requirements,Female,2025Q3,13
East Midlands,Community order,Terminated early for failure to comply with requirements,Male,2025Q3,85
East Midlands,Community order,Terminated early for conviction of an offence,Female,2025Q3,18
East Midlands,Community order,Terminated early for conviction of an offence,Male,2025Q3,89
East Midlands,Community order,Terminated early for other reasons,Female,2025Q3,7
East Midlands,Community order,Terminated early for other reasons,Male,2025Q3,44
East Midlands,Suspended sentence order,Ran their full course,Female,2025Q3,62
East Midlands,Suspended sentence order,Ran their full course,Male,2025Q3,430
East Midlands,Suspended sentence order,Terminated early for failure to comply with requirements,Female,2025Q3,3
East Midlands,Suspended sentence order,Terminated early for failure to comply with requirements,Male,2025Q3,45
East Midlands,Suspended sentence order,Terminated early for conviction of an offence,Female,2025Q3,15
East Midlands,Suspended sentence order,Terminated early for conviction of an offence,Male,2025Q3,73
East Midlands,Suspended sentence order,Terminated early for other reasons,Male,2025Q3,4
East of England,Community order,Ran their full course,Female,2025Q3,183
East of England,Community order,Ran their full course,Male,2025Q3,779
East of England,Community order,Terminated early for good progress,Female,2025Q3,23
East of England,Community order,Terminated early for good progress,Male,2025Q3,102
East of England,Community order,Terminated early for failure to comply with requirements,Female,2025Q3,15
East of England,Community order,Terminated early for failure to comply with requirements,Male,2025Q3,141
East of England,Community order,Terminated early for conviction of an offence,Female,2025Q3,18
East of England,Community order,Terminated early for conviction of an offence,Male,2025Q3,100
East of England,Community order,Terminated early for other reasons,Female,2025Q3,11
East of England,Community order,Terminated early for other reasons,Male,2025Q3,58
East of England,Suspended sentence order,Ran their full course,Female,2025Q3,91
East of England,Suspended sentence order,Ran their full course,Male,2025Q3,614
East of England,Suspended sentence order,Terminated early for failure to comply with requirements,Female,2025Q3,8
East of England,Suspended sentence order,Terminated early for failure to comply with requirements,Male,2025Q3,57
East of England,Suspended sentence order,Terminated early for conviction of an offence,Female,2025Q3,16
East of England,Suspended sentence order,Terminated early for conviction of an offence,Male,2025Q3,95
East of England,Suspended sentence order,Terminated early for other reasons,Female,2025Q3,c
East of England,Suspended sentence order,Terminated early for other reasons,Male,2025Q3,9
Greater Manchester,Community order,Ran their full course,Female,2025Q3,141
Greater Manchester,Community order,Ran their full course,Male,2025Q3,596
Greater Manchester,Community order,Terminated early for good progress,Male,2025Q3,14
Greater Manchester,Community order,Terminated early for failure to comply with requirements,Female,2025Q3,15
Greater Manchester,Community order,Terminated early for failure to comply with requirements,Male,2025Q3,108
Greater Manchester,Community order,Terminated early for conviction of an offence,Female,2025Q3,22
Greater Manchester,Community order,Terminated early for conviction of an offence,Male,2025Q3,117
Greater Manchester,Community order,Terminated early for other reasons,Female,2025Q3,4
Greater Manchester,Community order,Terminated early for other reasons,Male,2025Q3,18
Greater Manchester,Suspended sentence order,Ran their full course,Female,2025Q3,55
Greater Manchester,Suspended sentence order,Ran their full course,Male,2025Q3,390
Greater Manchester,Suspended sentence order,Terminated early for failure to comply with requirements,Female,2025Q3,5
Greater Manchester,Suspended sentence order,Terminated early for failure to comply with requirements,Male,2025Q3,56
Greater Manchester,Suspended sentence order,Terminated early for conviction of an offence,Female,2025Q3,11
Greater Manchester,Suspended sentence order,Terminated early for conviction of an offence,Male,2025Q3,91
Greater Manchester,Suspended sentence order,Terminated early for other reasons,Male,2025Q3,6
